T, °C;межфазная энергия, Дж/м²;места зарождения;t, ч;мольная доля P-фазы, %;объёмная доля P-фазы, %;движущая сила, Дж/м³
664,0;0,175;границы зёрен;0,010000000000000002;1,0176490830095688e-23;1,0896490129789979e-23;239035263,58988714
664,0;0,175;границы зёрен;0,016824612983877402;8,881686786942128e-21;9,510077100800669e-21;239035263,5899191
664,0;0,175;границы зёрен;0,03063432668685864;1,909809356471178e-18;2,044930728088031e-18;239035263,5898606
664,0;0,175;границы зёрен;0,054348757192997366;4,5940814756661034e-17;4,919118416242506e-17;239035263,58989865
664,0;0,175;границы зёрен;0,09697396630406459;4,168601582565528e-16;4,46353529500749e-16;239035263,58992624
664,0;0,175;границы зёрен;0,10000000000000002;4,605652010753632e-16;4,931507580983341e-16;239035263,58989152
664,0;0,175;границы зёрен;0,17132772795061982;2,346876553168234e-15;2,51292096896556e-15;239035263,58992845
664,0;0,175;границы зёрен;0,30321642389696435;1,4274800956357532e-14;1,5284760761112373e-14;239035263,58990306
664,0;0,175;границы зёрен;0,5372864810675667;1,2576795940072622e-13;1,3466619791971593e-13;239035263,58989018
664,0;0,175;границы зёрен;0,9535281649803364;1,0659564270443749e-12;1,1413741612899384e-12;239035263,58988988
664,0;0,175;границы зёрен;1,0;1,2648717064281074e-12;1,354362942457923e-12;239035263,589866
664,0;0,175;границы зёрен;1,6833722532226438;7,441081493767879e-12;7,967547203208337e-12;239035263,58985242
664,0;0,175;границы зёрен;2,9828917900699885;4,4374461367202703e-11;4,751400933536826e-11;239035263,58962372
664,0;0,175;границы зёрен;5,279599394819929;2,3392417353790485e-10;2,5047459783842505e-10;239035263,58853066
664,0;0,175;границы зёрен;9,364239494678381;1,1033244630010275e-09;1,1813860319593192e-09;239035263,58347246
664,0;0,175;границы зёрен;10,0;1,3124979728204866e-09;1,4053588260404336e-09;239035263,58219352
664,0;0,175;границы зёрен;16,584779519418934;4,872154512379734e-09;5,2168654638561006e-09;239035263,56137654
664,0;0,175;границы зёрен;29,337180054893313;1,8726745165867938e-08;2,005168552373667e-08;239035263,48041633
664,0;0,175;границы зёрен;51,936538565481264;6,824623914098965e-08;7,307474487766834e-08;239035263,19081327
664,0;0,175;границы зёрен;92,22012542177771;2,39678099507917e-07;2,566356211365456e-07;239035262,18815607
664,0;0,175;границы зёрен;100,0;2,816610431093809e-07;3,0158890985285265e-07;239035261,9425975
664,0;0,175;границы зёрен;163,13513046574474;7,011091910468766e-07;7,507135321897507e-07;239035259,48954955
664,0;0,175;границы зёрен;200,0;1,000711787370545e-06;1,0715133819881526e-06;239035257,73741308
664,0;0,175;границы зёрен;288,63448550324034;22,140057561554922;23,340874035598826;14218520,794738514
664,0;0,175;границы зёрен;511,3177710037636;22,29010521891133;23,496603927448074;11501414,02763838
664,0;0,175;границы зёрен;905,3327775924431;22,405159261989706;23,61599296566713;9397098,155481638
664,0;0,175;границы зёрен;1000,0;22,422286276498134;23,633763654068954;9082278,822444053
