B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;элемент;в сплаве, масс. %;собрано из фаз, масс. %;невязка, масс. %
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;TI;0,1;0,099999999443985;-5,560150118100182e-10
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;NI;59,565;59,56500030572999;3,0572999065725526e-07
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;CR;23,5;23,49999945334995;-5,466500496709159e-07
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;MO;13,0;13,00000030551159;3,0551158936020784e-07
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;B;0,5;0,49999999837131526;-1,6286847426272288e-09
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;SI;2,0;1,9999999910170538;-8,982946164692862e-09
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;AL;0,25;0,2499999971644596;-2,835540413581583e-09
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;C;0,005;0,004999944243541433;-5,5756458567333966e-08
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;FE;0,5;0,49999999791220384;-2,0877961581788895e-09
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;MN;0,5;0,5000000037731006;3,7731006097274644e-09
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;NB;0,06;0,059999999809505815;-1,9049418292782505e-10
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;S;0,02;0,02000000345423966;3,4542396581960233e-09
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;TI;0,1;0,09999999966304968;-3,369503287498077e-10
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;NI;59,565;59,56500023724517;2,3724517461687356e-07
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;CR;23,5;23,49999951146847;-4,885315298963633e-07
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;MO;13,0;13,000000327649921;3,276499214166506e-07
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;B;0,5;0,49999999818438223;-1,8156177672423723e-09
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;SI;2,0;1,9999999908080326;-9,19196740944983e-09
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;AL;0,25;0,24999999739187467;-2,6081253268195326e-09
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;C;0,005;0,004999947572514536;-5,242748546407938e-08
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;FE;0,5;0,4999999979427992;-2,057200798599723e-09
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;MN;0,5;0,49999999468587014;-5,314129858380312e-09
