T, °C;точка ТЗ;фаза постановки;имена в mc_ni;тип;есть;найдено как;мольная доля, %;массовая доля, %;NI, масс. %;CR, масс. %;MO, масс. %;AL, масс. %;C, масс. %;FE, масс. %;MN, масс. %;NB, масс. %;S, масс. %;SI, масс. %;TI, масс. %
825,0;нет;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
825,0;нет;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
825,0;нет;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
825,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
825,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
825,0;нет;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
850,0;нет;P;P_PHASE;ТКП;да;P_PHASE;11,170277418541923;12,028973654299762;37,795435718931266;30,171503643589716;32,03306063747901;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
850,0;нет;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
850,0;нет;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
850,0;нет;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
850,0;нет;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
850,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
850,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
850,0;нет;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
875,0;нет;P;P_PHASE;ТКП;да;P_PHASE;8,859449652374602;9,53994699463204;37,74637187913746;30,218694133994553;32,03493398686798;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
875,0;нет;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
875,0;нет;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
875,0;нет;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
875,0;нет;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
875,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
875,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
875,0;нет;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
900,0;нет;P;P_PHASE;ТКП;да;P_PHASE;6,376382354752713;6,865739157544361;37,69562327350249;30,26750506272212;32,03687166377539;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
900,0;нет;sigma;SIGMA;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
900,0;нет;mu;MU_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
900,0;нет;chi;CHI_A12;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
900,0;нет;Laves;LAVES, LAV_C14;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
900,0;нет;R;R_PHASE;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
900,0;нет;D_NiMo;D_NIMO;ТКП;нет;—;0,0;0,0;;;;;;;;;;;
900,0;нет;Ni2Cr;NI2CR;упорядочение;нет;—;0,0;0,0;;;;;;;;;;;
