B узла, масс. %;SI узла, масс. %;узел;оси задания;T, °C;режим;фаза;мольная доля, %;массовая доля, %;молярная масса фазы, г/моль;pdens точки;сошлась
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;M23C6;0,11681108085465997;0,09822421236743917;49,012513408852506;50;да
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;580,0;служба;MNS_Q;0,0727089043466217;0,05426556929672252;43,502000077190885;50;да
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;FCC_A1;78,17023435982233;77,43962436656388;57,74232737989506;100;да
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;P_PHASE;12,456234325670572;13,720504989892321;64,20306886425672;100;да
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;M2B;5,442569942190427;5,929308994456724;63,4998245770986;100;да
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;CR2B;2,6443677917708954;1,743029726278051;38,41982620523559;100;да
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;GAMMA_PRIME;1,0972030146397886;1,0151767034504648;53,929589149338156;100;да
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;M23C6;0,11668166703998617;0,09808964601097751;48,99965282656559;100;да
0,5;0,1;"B=0.5; Si=0.1";ось бора, перекрёстные узлы;595,0;служба;MNS_Q;0,07270890962878372;0,0542655733475981;43,50200010650583;100;да
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;FCC_A1;64,00341797697678;62,459359203245256;55,73492633573516;100;да
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;P_PHASE;26,072502696630618;29,278844853074972;64,13635755164233;100;да
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;CR2B;5,391048413537858;3,628424523252924;38,43951823264856;100;да
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;M2B;2,532736241328168;2,8215385153133856;63,62519004637859;100;да
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;GAMMA_PRIME;1,8134083308538755;1,6656345134508734;52,458658340837324;100;да
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;M23C6_WY;0,11564229527487506;0,091932805001867;45,403243892129666;100;да
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;580,0;служба;MNS_Q;0,07124400943650866;0,05426558666072845;43,50200003403789;100;да
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;FCC_A1;65,31784504153202;63,76063870660552;55,75115709389114;100;да
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;P_PHASE;24,968719102203046;28,03712205511542;64,13132950956607;100;да
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;CR2B;5,077516152786179;3,417200945191852;38,437247380484024;100;да
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;M2B;2,846200755322455;3,1653864029395002;63,51762890282165;100;да
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;GAMMA_PRIME;1,6027414675875677;1,4733572986416268;52,50222151238777;100;да
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;M23C6_WY;0,11573352751918374;0,09202902053537876;45,41493365408184;100;да
0,5;2,0;"B=0.5; Si=2";перекрёстные узлы;595,0;служба;MNS_Q;0,07124398885990488;0,05426557097069856;43,50200004916485;100;да
1,0;0,1;"B=1; Si=0.1";ось бора;595,0;служба;FCC_A1;83,03642082133096;84,07423462216383;57,74566992495645;100;да
1,0;0,1;"B=1; Si=0.1";ось бора;595,0;служба;M2B;9,613278091596463;10,690333023599651;63,4227182636729;100;да
1,0;0,1;"B=1; Si=0.1";ось бора;595,0;служба;CR2B;6,212781032244697;4,182797173284199;38,39775926660837;100;да
1,0;0,1;"B=1; Si=0.1";ось бора;595,0;служба;GAMMA_PRIME;0,9522677243384778;0,9003490045812601;53,923360162390544;100;да
1,0;0,1;"B=1; Si=0.1";ось бора;595,0;служба;M23C6;0,11410908233842718;0,0980205946145068;48,99166990398688;100;да
1,0;0,1;"B=1; Si=0.1";ось бора;595,0;служба;MNS_Q;0,07114434106786414;0,05426558175654849;43,50200007851839;100;да
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;580,0;служба;FCC_A1;75,87494087280835;78,41228319379563;57,69851830670239;100;да
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;580,0;служба;CR2B;12,628718070407588;8,68102459401004;38,37873405804204;100;да
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;580,0;служба;M2B;10,610330261144025;12,072858220005028;63,52726010634481;100;да
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;580,0;служба;GAMMA_PRIME;0,7048012398563205;0,6811047163788457;53,95431147570191;100;да
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;580,0;служба;M23C6;0,11156556552073618;0,0984636810281781;49,27479464803082;100;да
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;580,0;служба;MNS_Q;0,06964569389346764;0,054265594782289546;43,502000028828945;100;да
1,5;0,1;"B=1.5; Si=0.1";перекрёстные узлы;595,0;служба;FCC_A1;76,7499740249346;79,27596954061679;57,668976666124905;100;да
