источник;T, °C;узел Ni, ат. %;узел Cr, ат. %;узел Mo, ат. %;мольная доля P, %;x(Ni) в P;x(Cr) в P;x(Mo) в P;прочие элементы в P, мольн. доля;Mo − 12/56, ат. %;Ni/Cr;y(Ni) подрешётки 1;y(Cr) подрешётки 2;y(Mo) подрешётки 3
13-А, сечение;700,0;65,0;17,5;17,5;8,426243569663946;0,42385645432481867;0,361857831389467;0,21428571428571425;0,0;-2,7755575615628914e-15;1,171334202433283;0,988998393424577;1,0;0,9999999999999999
13-А, сечение;700,0;62,5;17,5;20,0;6,5639766506369615;0,42385645432481867;0,361857831389467;0,21428571428571427;0,0;0,0;1,171334202433283;0,988998393424577;1,0;1,0
13-А, сечение;700,0;60,0;17,5;22,5;4,701709731290986;0,4238564543248187;0,3618578313894669;0,21428571428571427;0,0;0,0;1,1713342024332833;0,9889983934245771;1,0;1,0
13-А, сечение;700,0;57,5;17,5;25,0;2,839442808049068;0,42385645432481867;0,361857831389467;0,21428571428571427;0,0;0,0;1,171334202433283;0,988998393424577;1,0;1,0
13-А, сечение;700,0;55,0;17,5;27,5;0,9771758896446187;0,42385645432481867;0,361857831389467;0,21428571428571427;0,0;0,0;1,171334202433283;0,988998393424577;1,0;1,0
13-А, сечение;700,0;70,0;20,0;10,0;4,987723417979542;0,42235058302612855;0,3633637026881571;0,21428571428571427;0,0;0,0;1,1623356430529184;0,9854846937276334;0,9999999999999999;1,0
13-А, сечение;700,0;67,5;20,0;12,5;12,885254568949891;0,4230857025596794;0,3626285831546062;0,21428571428571427;0,0;0,0;1,1667191231290706;0,9871999726392521;1,0;1,0
13-А, сечение;700,0;65,0;20,0;15,0;19,665879534969804;0,42366609346428885;0,36204819224999696;0,21428571428571427;0,0;0,0;1,1701925393726156;0,9885542180833405;1,0;0,9999999999999999
13-А, сечение;700,0;62,5;20,0;17,5;21,069569138555444;0,4238564543248184;0,36185783138946725;0,21428571428571427;0,0;0,0;1,1713342024332813;0,9889983934245763;1,0;1,0
13-А, сечение;700,0;60,0;20,0;20,0;19,20730221820257;0,42385645432481867;0,361857831389467;0,21428571428571427;0,0;0,0;1,171334202433283;0,988998393424577;1,0;1,0
13-А, сечение;700,0;57,5;20,0;22,5;17,345035297534338;0,42385645432481867;0,3618578313894669;0,21428571428571427;0,0;0,0;1,1713342024332831;0,988998393424577;1,0;1,0
13-А, сечение;700,0;55,0;20,0;25,0;15,482768377641062;0,42385645432481867;0,3618578313894669;0,21428571428571427;0,0;0,0;1,1713342024332831;0,988998393424577;1,0;1,0
13-А, сечение;700,0;52,5;20,0;27,5;13,620501457345425;0,4238564543248186;0,361857831389467;0,21428571428571427;0,0;0,0;1,1713342024332827;0,9889983934245768;1,0;1,0
13-А, сечение;700,0;50,0;20,0;30,0;11,758234534734322;0,42385645432481867;0,361857831389467;0,21428571428571425;0,0;-2,7755575615628914e-15;1,171334202433283;0,988998393424577;1,0;0,9999999999999999
13-А, сечение;700,0;47,5;20,0;32,5;9,895967612875896;0,4238564543248186;0,361857831389467;0,21428571428571427;0,0;0,0;1,1713342024332827;0,9889983934245768;0,9999999999999999;1,0
13-А, сечение;700,0;45,0;20,0;35,0;8,033700694919345;0,42385645432481867;0,361857831389467;0,21428571428571427;0,0;0,0;1,171334202433283;0,988998393424577;1,0;1,0
13-А, сечение;700,0;42,5;20,0;37,5;6,17143377686977;0,42385645432481867;0,361857831389467;0,21428571428571427;0,0;0,0;1,171334202433283;0,988998393424577;1,0;1,0
13-А, сечение;700,0;40,0;20,0;40,0;4,309166855351018;0,42385645432481867;0,361857831389467;0,21428571428571425;0,0;-2,7755575615628914e-15;1,171334202433283;0,988998393424577;1,0;0,9999999999999999
13-А, сечение;700,0;37,5;20,0;42,5;2,4468999305381325;0,4238564543248187;0,3618578313894669;0,21428571428571425;0,0;-2,7755575615628914e-15;1,1713342024332833;0,9889983934245771;1,0;0,9999999999999999
13-А, сечение;700,0;35,0;20,0;45,0;0,5846330107576905;0,42385645432481867;0,361857831389467;0,21428571428571427;0,0;0,0;1,171334202433283;0,988998393424577;1,0;1,0
13-А, сечение;700,0;70,0;22,5;7,5;3,655033444638601;0,4205707528650132;0,36514353284927237;0,21428571428571427;0,0;0,0;1,151795705056676;0,9813317566850309;0,9999999999999999;1,0
13-А, сечение;700,0;67,5;22,5;10,0;13,333924587264006;0,4216558035167792;0,36405848219750647;0,21428571428571427;0,0;0,0;1,1582089805231497;0,9838635415391516;1,0;1,0
13-А, сечение;700,0;65,0;22,5;12,5;22,01747483413235;0,42262596992497975;0,3630883157893059;0,21428571428571427;0,0;0,0;1,163975681801401;0,9861272631582861;1,0;1,0
13-А, сечение;700,0;62,5;22,5;15,0;29,477187947798246;0,4234155191802592;0,3622987665340264;0,21428571428571427;0,0;0,0;1,1686915835538536;0,9879695447539383;1,0;1,0
13-А, сечение;700,0;60,0;22,5;17,5;33,71289470315757;0,42385645432481867;0,361857831389467;0,21428571428571427;0,0;0,0;1,171334202433283;0,988998393424577;1,0;1,0
13-А, сечение;700,0;57,5;22,5;20,0;31,850627782872;0,4238564543248187;0,361857831389467;0,21428571428571427;0,0;0,0;1,1713342024332831;0,9889983934245771;1,0;1,0
13-А, сечение;700,0;55,0;22,5;22,5;29,988360865516;0,42385645432481867;0,3618578313894669;0,21428571428571427;0,0;0,0;1,1713342024332831;0,988998393424577;0,9999999999999999;1,0
