фаза;T, °C;узел Ni, ат. %;узел Cr, ат. %;узел Mo, ат. %;фазовый набор;мольная доля фазы, %;Ni в фазе, ат. %;Cr в фазе, ат. %;Mo в фазе, ат. %;евклид, ат. % (до измеренной);Чебышёв, ат. % (до измеренной);ΔNi, ат. % (до измеренной);ΔCr, ат. % (до измеренной);ΔMo, ат. % (до измеренной);y(NI) подрешётки 1;y(MO) подрешётки 2;y(NI) подрешётки 2;y(MO) подрешётки 3;y(CR) подрешётки 2;y(CR) подрешётки 3;y(NI) подрешётки 3;y(CR) подрешётки 1;y(MO) подрешётки 1
SIGMA;1100,0;30,0;10,0;60,0;BCC_B2 + FCC_A1 + SIGMA;43,04891153286711;32,664554694938715;15,135380979949836;52,20006432511145;14,188195557737668;11,540723665770791;-4,8978828674988435;-6,642840798271941;11,540723665770791;1,0;0,13017049788697932;;0,8410742947769735;0,8698295021130209;0,05896090475182602;0,09996480047120088;;
SIGMA;1100,0;27,5;10,0;62,5;BCC_B2 + FCC_A1 + SIGMA;46,14353650921335;32,66455469493893;15,13538097994908;52,20006432511199;14,188195557738387;11,540723665771331;-4,89788286749863;-6,642840798272697;11,540723665771331;0,9999999999999997;0,13017049788700008;;0,8410742947769774;0,8698295021130001;0,05896090475181791;0,09996480047120437;;
SIGMA;1100,0;25,0;10,0;65,0;BCC_B2 + FCC_A1 + SIGMA;49,23816146453669;32,66455469493892;15,135380979949357;52,200064325111725;14,188195557738048;11,540723665771068;-4,897882867498637;-6,64284079827242;11,540723665771068;0,9999999999999997;0,1301704978869927;;0,8410742947769747;0,8698295021130076;0,05896090475182086;0,09996480047120429;;
SIGMA;1100,0;22,5;10,0;67,5;BCC_B2 + FCC_A1 + SIGMA;52,332786421223766;32,66455469493894;15,13538097994923;52,200064325111825;14,18819555773818;11,540723665771168;-4,897882867498616;-6,642840798272546;11,540723665771168;0,9999999999999986;0,13017049788699506;;0,841074294776976;0,8698295021130035;0,05896090475181977;0,09996480047120511;;
SIGMA;1100,0;20,0;10,0;70,0;BCC_B2 + FCC_A1 + SIGMA;55,4274114439254;32,66455469493904;15,135380979949142;52,200064325111825;14,188195557738187;11,540723665771168;-4,897882867498517;-6,642840798272635;11,540723665771168;1,0;0,13017049788699894;;0,8410742947769749;0,8698295021130017;0,058960904751818595;0,09996480047120607;;
SIGMA;1100,0;17,5;10,0;72,5;BCC_B2 + SIGMA;52,88121237318006;32,2800865170866;15,752497510901206;51,96741597201219;13,859478806547806;11,308075312671534;-5,282351045350957;-6,025724267320571;11,308075312671534;0,9999999999999992;0,11217549363792753;;0,8411957120584411;0,8878245063620727;0,0652472904345594;0,09355699750699903;;
SIGMA;1100,0;15,0;10,0;75,0;BCC_B2 + SIGMA;45,885643831261795;31,64905995776947;16,90104025142272;51,449899790807805;13,23597751246311;10,790559131467148;-5,913377604668089;-4,877181526799056;10,790559131467148;0,9999999999999991;0,08462741602436631;;0,8386922373969375;0,9153725839756339;0,07826787441801561;0,08303988818504711;;
SIGMA;1100,0;65,0;12,5;22,5;FCC_A1 + SIGMA;3,3248792290293117;32,26895229286724;17,26398093426395;50,46706677286882;12,024593473976458;9,807726113528162;-5,2934852695703185;-4,514240843957825;9,807726113528162;1,0;0,08281541999062293;;0,8227143528832307;0,9171845800093769;0,08391422001342651;0,09337142710334272;;
SIGMA;1100,0;62,5;12,5;25,0;FCC_A1 + SIGMA;11,00471532817665;32,32486586688006;16,8930192881001;50,78211484501984;12,40031926402901;10,122774185679184;-5,237571695557499;-4,885202490121678;10,122774185679184;1,0;0,08958449440932703;;0,8264609153260358;0,9104155055906727;0,0792357646704077;0,09430332000355654;;
SIGMA;1100,0;60,0;12,5;27,5;FCC_A1 + SIGMA;18,65357455049358;32,38574263148951;16,52085491630509;51,0934024522054;12,779190984808187;10,434061792864746;-5,176694930948052;-5,257366861916687;10,434061792864746;1,0;0,09695467238494032;;0,8300112247845477;0,9030453276150604;0,0746708424684047;0,09531793274704722;;
SIGMA;1100,0;57,5;12,5;30,0;FCC_A1 + SIGMA;26,27808419127129;32,452301249650006;16,146946043126693;51,4007527072233;13,160649388321952;10,74141204788264;-5,110136312787553;-5,631275735095084;10,74141204788264;0,9999999999999997;0,10498492766072551;;0,8333492278624494;0,8950150723392738;0,07022352908782846;0,09642724304972251;;
SIGMA;1100,0;55,0;12,5;32,5;FCC_A1 + SIGMA;33,885657060780254;32,52533067327631;15,770885389009644;51,70378393771405;13,544012095210016;11,044443278373393;-5,037106889161251;-6,007336389212133;11,044443278373393;1,0;0,11373535404594573;;0,8364552091739126;0,8862646459540551;0,06590039071592618;0,09764440011016051;;
SIGMA;1100,0;52,5;12,5;35,0;FCC_A1 + SIGMA;41,4846443240098;32,6056790124647;15,392440020815364;52,00188096671994;13,928420032454408;11,34254030737928;-4,956758549972861;-6,385781757406413;11,34254030737928;1,0;0,12326442238832994;;0,8393059222479256;0,8767355776116699;0,06171053865544053;0,09898353909663381;;
SIGMA;1100,0;50,0;12,5;37,5;BCC_B2 + FCC_A1 + SIGMA;47,622455922634046;32,66455469493935;15,135380979948426;52,20006432511223;14,188195557738746;11,540723665771573;-4,897882867498211;-6,642840798273351;11,540723665771573;1,0;0,13017049788702056;;0,8410742947769773;0,8698295021129795;0,058960904751811705;0,0999648004712114;;
SIGMA;1100,0;47,5;12,5;40,0;BCC_B2 + FCC_A1 + SIGMA;50,71708087637221;32,66455469493898;15,135380979949176;52,20006432511184;14,188195557738204;11,540723665771182;-4,897882867498581;-6,642840798272601;11,540723665771182;1,0;0,13017049788699797;;0,841074294776975;0,8698295021130025;0,05896090475181891;0,09996480047120489;;
SIGMA;1100,0;45,0;12,5;42,5;BCC_B2 + FCC_A1 + SIGMA;53,8117058597644;32,664554694939106;15,135380979948943;52,20006432511196;14,188195557738368;11,540723665771303;-4,897882867498453;-6,642840798272834;11,540723665771303;1,0;0,13017049788700377;;0,8410742947769765;0,8698295021129965;0,05896090475181655;0,09996480047120748;;
