T, °C;фаза;статус данных;мольная доля, %;массовая доля, %;плотность фазы, кг/м³;модель плотности;примечание;диагностика
750,0;MNS_Q;оценка по правилу смеси;0,07434385873950247;0,05426557992155219;3572,134965116304;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
800,0;FCC_A1;прямая модель;84,43083818655504;83,26370291549479;8099,2457319499645;FCC_A1;Прямая DP-модель из physical_data.pdb.;
800,0;P_PHASE;оценка по правилу смеси;15,338607157524498;16,519579221935018;8299,633411175846;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
800,0;M6C;прямая модель;0,1562088811123767;0,16245229265244235;10748,395780326204;M6C;Прямая DP-модель из physical_data.pdb.;
800,0;MNS_Q;оценка по правилу смеси;0,07434384108391588;0,05426556991773586;3533,8647629307256;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
850,0;FCC_A1;прямая модель;88,60947677579037;87,76489724148497;8080,519102040937;FCC_A1;Прямая DP-модель из physical_data.pdb.;
850,0;P_PHASE;оценка по правилу смеси;11,170277418541923;12,028973654299762;8268,477811405131;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
850,0;M6C;прямая модель;0,14589990111486476;0,15186353582692005;10728,608321977206;M6C;Прямая DP-модель из physical_data.pdb.;
850,0;MNS_Q;оценка по правилу смеси;0,07434383458102027;0,054265568388342546;3495,5419644302888;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
900,0;FCC_A1;прямая модель;93,41874414680706;92,94401964560157;8060,973568191541;FCC_A1;Прямая DP-модель из physical_data.pdb.;
900,0;P_PHASE;оценка по правилу смеси;6,376382354752713;6,865739157544359;8236,05404770197;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
900,0;M6C;прямая модель;0,13052753843152642;0,13597548638100773;10708,531940628205;M6C;Прямая DP-модель из physical_data.pdb.;
900,0;MNS_Q;оценка по правилу смеси;0,07434402259000361;0,054265710473044265;3457,1662824915193;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
950,0;FCC_A1;прямая модель;99,00483694304631;98,95804912814232;8040,495323614829;FCC_A1;Прямая DP-модель из physical_data.pdb.;
950,0;P_PHASE;оценка по правилу смеси;0,8129135019387674;0,8751889148156139;8202,285164371533;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
950,0;M6C;прямая модель;0,10790366247639852;0,11249636121538716;10688,166636279208;M6C;Прямая DP-модель из physical_data.pdb.;
950,0;MNS_Q;оценка по правилу смеси;0,0743438554659702;0,0542655958266826;3418,737419667995;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
1000,0;FCC_A1;прямая модель;99,85433617485607;99,87139765924037;8009,994717660044;FCC_A1;Прямая DP-модель из physical_data.pdb.;
1000,0;MNS_Q;оценка по правилу смеси;0,07434385709315236;0,05426560712394435;3380,2552487427147;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
1000,0;M6C;прямая модель;0,0713199802754983;0,07433673363568245;10667,512408930206;M6C;Прямая DP-модель из physical_data.pdb.;
1050,0;FCC_A1;прямая модель;99,9069673723356;99,92626218809819;7977,069189718089;FCC_A1;Прямая DP-модель из physical_data.pdb.;
1050,0;MNS_Q;оценка по правилу смеси;0,07434387545795056;0,05426563699595562;3341,719507268648;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
1050,0;M6C;прямая модель;0,018688724870357845;0,01947217490585289;10646,569258581205;M6C;Прямая DP-модель из physical_data.pdb.;
1100,0;FCC_A1;прямая модель;99,92565616938064;99,94573436066196;7943,186369233898;FCC_A1;Прямая DP-модель из physical_data.pdb.;
1100,0;MNS_Q;оценка по правилу смеси;0,07434384711003336;0,054265639338031905;3303,129954607863;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
1150,0;FCC_A1;прямая модель;99,92565620813969;99,94573435630318;7908,272624002542;FCC_A1;Прямая DP-модель из physical_data.pdb.;
1150,0;MNS_Q;оценка по правилу смеси;0,07434381003367636;0,054265643696815725;3264,4863748449134;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
1200,0;FCC_A1;прямая модель;99,92565630177525;99,94573439897415;7872,247588903696;FCC_A1;Прямая DP-модель из physical_data.pdb.;
1200,0;MNS_Q;оценка по правилу смеси;0,07434369427740799;0,05426560102585218;3225,788552463825;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
1250,0;FCC_A1;прямая модель;99,9256565135827;99,94573450563277;7835,07021015938;FCC_A1;Прямая DP-модель из physical_data.pdb.;
1250,0;MNS_Q;оценка по правилу смеси;0,07434347358100389;0,054265494367223166;3187,036263238614;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
1300,0;FCC_A1;прямая модель;99,9256569885143;99,94573476230121;7796,696979488767;FCC_A1;Прямая DP-модель из physical_data.pdb.;
1300,0;MNS_Q;оценка по правилу смеси;0,07434302680606848;0,05426523769879204;3148,2292669043027;;"В physical_data.pdb нет модели плотности для этой фазы. Плотность оценена по правилу смеси из плотностей элементов; погрешность до 10 %.";
